seqnames,start,end,width,strand,Conc,Conc_Yng,Conc_Old,Fold,p.value,FDR
chr12,102282151,102283991,1841,*,8.67,8.86,8.45,0.41,0.00329,0.0303
chr13,69809522,69810994,1473,*,9,9.18,8.79,0.39,0.00329,0.0303
chr17,81424305,81424998,694,*,7.88,8.15,7.53,0.62,0.00329,0.0303
chr8,110217296,110218788,1493,*,9.14,9.31,8.95,0.36,0.00329,0.0303
chr8,111299348,111300886,1539,*,9.28,9.44,9.1,0.33,0.0033,0.0304
chr5,25705038,25706272,1235,*,8.32,8.53,8.06,0.47,0.0033,0.0304
chr7,88423031,88424633,1603,*,9.38,9.53,9.21,0.32,0.0033,0.0304
chr8,120539144,120539653,510,*,7.58,7.87,7.23,0.64,0.0033,0.0304
chr5,151189323,151191297,1975,*,8.8,8.99,8.59,0.4,0.00331,0.0304
chr6,18847836,18849055,1220,*,9.33,9.49,9.15,0.34,0.00331,0.0304
chr16,4878959,4881233,2275,*,10.03,10.16,9.89,0.27,0.00331,0.0304
chr14,67760285,67761040,756,*,7.52,7.86,7.07,0.79,0.00331,0.0305
chr2,138256120,138258589,2470,*,9.67,9.82,9.51,0.31,0.00332,0.0305
chr17,74315763,74316947,1185,*,9.16,9.33,8.97,0.36,0.00332,0.0305
chr5,105876005,105877505,1501,*,9.4,9.55,9.23,0.33,0.00332,0.0305
chr3,69587935,69588907,973,*,7.61,7.89,7.26,0.63,0.00332,0.0305
chr4,122995284,122997535,2252,*,9.2,9.37,8.99,0.38,0.00332,0.0305
chr10,62601250,62602948,1699,*,8.86,9.04,8.65,0.39,0.00333,0.0305
chr13,118713527,118716084,2558,*,8.44,8.66,8.18,0.48,0.00333,0.0305
chr1,17096618,17098228,1611,*,9.39,9.55,9.21,0.34,0.00333,0.0305
chr13,67331896,67333203,1308,*,8.9,9.08,8.69,0.38,0.00333,0.0305
chr15,31452372,31454242,1871,*,9.32,9.5,9.12,0.38,0.00333,0.0305
chr14,122104641,122105509,869,*,8.8,8.99,8.59,0.4,0.00334,0.0306
chr6,55016021,55018140,2120,*,8.7,8.91,8.46,0.45,0.00334,0.0306
chr18,75368667,75369553,887,*,8.14,8.37,7.86,0.51,0.00334,0.0306
chr4,83323409,83324783,1375,*,9.54,9.69,9.37,0.32,0.00334,0.0306
chr10,75565031,75566717,1687,*,8.71,8.9,8.49,0.41,0.00334,0.0306
chr11,35768955,35770382,1428,*,9.75,9.9,9.6,0.3,0.00335,0.0306
chr8,12976270,12977680,1411,*,8.56,8.76,8.32,0.44,0.00335,0.0306
chr19,10203214,10204962,1749,*,9.1,9.27,8.91,0.36,0.00335,0.0306
chr6,91684771,91685782,1012,*,7.82,8.08,7.51,0.57,0.00335,0.0306
chr5,14514430,14515946,1517,*,9.42,9.57,9.24,0.33,0.00335,0.0306
chr6,124964702,124966235,1534,*,9.22,9.38,9.03,0.36,0.00336,0.0306
chr16,38758410,38759014,605,*,8.1,8.33,7.81,0.52,0.00336,0.0306
chr17,21707289,21708793,1505,*,8.44,8.65,8.19,0.46,0.00336,0.0306
chr13,108315546,108317100,1555,*,9.19,9.36,9.01,0.35,0.00337,0.0307
chr13,49186982,49188479,1498,*,9.55,9.7,9.39,0.31,0.00337,0.0307
chr13,74462321,74463571,1251,*,8.95,9.13,8.75,0.38,0.00338,0.0308
chr11,29129975,29131516,1542,*,8.77,8.96,8.55,0.41,0.00338,0.0308
chr13,68581161,68582873,1713,*,9.46,9.61,9.29,0.32,0.00338,0.0308
chr6,140678499,140679436,938,*,8.4,8.63,8.13,0.5,0.00339,0.0308
chr12,115165335,115166429,1095,*,7.66,7.93,7.33,0.6,0.00339,0.0308
chr13,59822478,59823639,1162,*,9.64,9.78,9.48,0.31,0.00339,0.0308
chr13,23368491,23369807,1317,*,9.26,9.42,9.08,0.34,0.00339,0.0308
chrX,166439841,166441355,1515,*,8.73,8.92,8.5,0.42,0.00339,0.0309
chrX,51017467,51019343,1877,*,9.2,9.37,9.02,0.35,0.0034,0.0309
chr11,43681275,43683049,1775,*,9.92,10.06,9.78,0.28,0.0034,0.0309
chr2,6441761,6442836,1076,*,8.4,8.61,8.14,0.47,0.0034,0.0309
chr12,4816617,4818044,1428,*,8.89,9.07,8.69,0.38,0.0034,0.0309
chr11,23305254,23307581,2328,*,10.24,10.36,10.1,0.26,0.0034,0.0309
chr9,79810320,79811251,932,*,8.22,8.46,7.93,0.52,0.0034,0.0309
chr15,6579170,6580640,1471,*,8.6,8.8,8.37,0.43,0.0034,0.0309
chr5,86803798,86804962,1165,*,9.69,9.84,9.53,0.31,0.00341,0.0309
chr3,142393980,142396239,2260,*,9.86,10,9.71,0.29,0.00341,0.0309
chr9,109094305,109096210,1906,*,8.5,8.72,8.25,0.46,0.00341,0.0309
chr3,99140635,99141930,1296,*,9.3,9.47,9.11,0.36,0.00341,0.0309
chr3,32708132,32709499,1368,*,9.69,9.83,9.53,0.3,0.00341,0.0309
chr7,118102202,118104030,1829,*,7.69,7.96,7.36,0.6,0.00341,0.0309
chr15,64100148,64101058,911,*,8.32,8.54,8.06,0.48,0.00342,0.0309
chr19,47887200,47888151,952,*,8.87,9.05,8.66,0.39,0.00342,0.031
chr14,20347390,20348688,1299,*,9.12,9.29,8.92,0.37,0.00343,0.031
chr1,65177952,65180162,2211,*,10.02,10.16,9.88,0.28,0.00343,0.031
chr1,52231950,52233817,1868,*,10.18,10.32,10.04,0.28,0.00343,0.031
chrX,98890003,98891393,1391,*,8.68,8.87,8.45,0.42,0.00343,0.031
chr12,100198964,100201075,2112,*,9.78,9.92,9.62,0.3,0.00344,0.031
chr13,91370171,91371652,1482,*,9.28,9.43,9.1,0.33,0.00344,0.031
chr14,31494088,31495647,1560,*,8.92,9.1,8.7,0.4,0.00344,0.031
chr19,53421231,53422014,784,*,8.15,8.38,7.88,0.5,0.00344,0.031
chr17,84160770,84162156,1387,*,9,9.18,8.79,0.39,0.00344,0.031
chr7,97747965,97750304,2340,*,9.45,9.6,9.28,0.31,0.00345,0.0311
chr12,51690731,51692581,1851,*,10.15,10.28,10,0.27,0.00345,0.0311
chr14,37134476,37136061,1586,*,9.74,9.88,9.58,0.3,0.00346,0.0311
chr2,73053888,73054743,856,*,7.98,8.23,7.69,0.54,0.00346,0.0312
chr10,43856041,43857159,1119,*,7.77,8.03,7.45,0.59,0.00346,0.0312
chr1,125434414,125436210,1797,*,9.94,10.08,9.8,0.28,0.00347,0.0312
chr14,87567058,87568870,1813,*,8.67,8.87,8.44,0.43,0.00347,0.0312
chr14,17910926,17911827,902,*,8.13,8.36,7.85,0.51,0.00347,0.0312
chr1,144329943,144331501,1559,*,9.13,9.3,8.94,0.36,0.00347,0.0312
chr19,10868664,10870270,1607,*,7.89,8.14,7.58,0.56,0.00347,0.0312
chr5,45492849,45494170,1322,*,9.25,9.41,9.06,0.35,0.00347,0.0312
chr13,19395071,19396367,1297,*,9.54,9.69,9.36,0.33,0.00348,0.0312
chr7,7136056,7137216,1161,*,8.51,8.71,8.27,0.43,0.00348,0.0312
chrX,166509722,166510849,1128,*,9.05,9.22,8.86,0.37,0.00348,0.0312
chr6,25808236,25809946,1711,*,9.25,9.41,9.07,0.34,0.00348,0.0312
chr1,89898924,89899534,611,*,7.84,8.11,7.5,0.61,0.00348,0.0312
chr4,15944488,15945824,1337,*,8.6,8.8,8.37,0.43,0.00348,0.0312
chr6,136807912,136809545,1634,*,9.49,9.64,9.31,0.33,0.00348,0.0312
chr6,43265120,43267315,2196,*,9.54,9.69,9.38,0.31,0.00348,0.0312
chr3,30863802,30865117,1316,*,7.97,8.22,7.67,0.55,0.00348,0.0312
chr2,18586512,18588511,2000,*,8.69,8.88,8.48,0.41,0.00349,0.0312
chr19,7482508,7484286,1779,*,9.29,9.45,9.11,0.34,0.00349,0.0312
chr2,173061324,173062767,1444,*,8.52,8.73,8.29,0.44,0.00349,0.0313
chr3,152395287,152397198,1912,*,10.17,10.3,10.02,0.27,0.00349,0.0313
chr10,127563588,127564791,1204,*,8.89,9.08,8.68,0.4,0.00349,0.0313
chr2,10047588,10049342,1755,*,9.09,9.27,8.89,0.37,0.0035,0.0313
chr2,178691306,178692443,1138,*,8.25,8.47,7.99,0.48,0.0035,0.0313
chr2,154551806,154552969,1164,*,7.79,8.06,7.46,0.59,0.0035,0.0313
chr1,111863889,111865494,1606,*,9.85,9.98,9.7,0.28,0.0035,0.0313
chr1,75179129,75180688,1560,*,9.2,9.36,9.02,0.34,0.0035,0.0313
chr13,30197691,30198961,1271,*,8.42,8.64,8.16,0.48,0.00351,0.0313
chr11,50915503,50916652,1150,*,8.51,8.72,8.27,0.45,0.00351,0.0313
chr13,18716846,18718083,1238,*,8.31,8.53,8.04,0.49,0.00351,0.0313
chrX,97376077,97377618,1542,*,8.77,8.96,8.55,0.41,0.00351,0.0313
chr16,92821765,92822905,1141,*,9.18,9.35,8.99,0.36,0.00351,0.0313
chr9,106437651,106438968,1318,*,9.17,9.34,8.99,0.35,0.00351,0.0313
chr10,82622500,82623767,1268,*,8.9,9.08,8.7,0.38,0.00351,0.0313
chr5,149428175,149429195,1021,*,8.73,8.92,8.51,0.4,0.00351,0.0313
chr8,15026538,15028839,2302,*,9.54,9.7,9.36,0.35,0.00352,0.0313
chr8,125053501,125055080,1580,*,7.92,8.17,7.62,0.55,0.00352,0.0313
chr3,100921640,100922874,1235,*,9.61,9.76,9.45,0.31,0.00352,0.0313
chrX,164075908,164077276,1369,*,9.36,9.52,9.18,0.34,0.00352,0.0313
chr7,5100986,5101800,815,*,8.2,8.42,7.94,0.48,0.00353,0.0314
chr1,51914993,51916447,1455,*,8.2,8.44,7.92,0.53,0.00353,0.0314
chr15,8443369,8446713,3345,*,10.45,10.57,10.31,0.26,0.00353,0.0314
chr2,36135862,36137249,1388,*,9.03,9.21,8.82,0.39,0.00353,0.0314
chr7,13302343,13303672,1330,*,8.62,8.83,8.38,0.45,0.00353,0.0314
chr16,42874714,42876781,2068,*,10.72,10.84,10.59,0.25,0.00354,0.0314
chr8,69270582,69271507,926,*,8.75,8.94,8.54,0.41,0.00354,0.0314
chr8,72420772,72422137,1366,*,9.44,9.59,9.27,0.32,0.00354,0.0314
chr7,12818252,12819336,1085,*,8.38,8.59,8.13,0.45,0.00354,0.0314
chr8,47947588,47948917,1330,*,8.68,8.87,8.46,0.41,0.00354,0.0314
chr8,119825829,119826857,1029,*,7.68,7.97,7.31,0.65,0.00354,0.0314
chr10,115252211,115253002,792,*,8.2,8.43,7.92,0.51,0.00355,0.0314
chr10,11342970,11344133,1164,*,9.11,9.28,8.91,0.37,0.00355,0.0315
chr15,57975345,57977086,1742,*,9.31,9.47,9.14,0.33,0.00355,0.0315
chr8,95806469,95808375,1907,*,9.83,9.97,9.68,0.29,0.00356,0.0315
chr8,57486568,57488851,2284,*,10.18,10.31,10.05,0.26,0.00356,0.0315
chr5,73013107,73014377,1271,*,7.27,7.6,6.85,0.75,0.00356,0.0315
chr10,59322766,59324523,1758,*,9.35,9.51,9.17,0.34,0.00356,0.0315
chr11,72689531,72690789,1259,*,8.44,8.65,8.2,0.44,0.00356,0.0315
chr17,78417278,78418573,1296,*,9.35,9.51,9.18,0.33,0.00356,0.0315
chr3,27709779,27711570,1792,*,9.57,9.73,9.39,0.34,0.00356,0.0315
chr5,24601698,24603325,1628,*,8.23,8.46,7.95,0.51,0.00357,0.0315
chr17,71615707,71617245,1539,*,9.29,9.45,9.12,0.34,0.00357,0.0315
chr8,47917247,47918214,968,*,8.41,8.62,8.17,0.46,0.00357,0.0315
chr5,145280146,145281332,1187,*,8.68,8.88,8.44,0.44,0.00357,0.0315
chr14,70775366,70776752,1387,*,8.5,8.7,8.26,0.44,0.00357,0.0315
chr15,82211540,82212928,1389,*,7.93,8.19,7.62,0.56,0.00357,0.0315
chr16,58685579,58686810,1232,*,8.49,8.7,8.25,0.45,0.00358,0.0315
chr19,60860814,60862027,1214,*,8.88,9.06,8.67,0.39,0.00358,0.0315
chr13,63564650,63566641,1992,*,9.41,9.57,9.25,0.32,0.00358,0.0315
chr1,151754052,151756136,2085,*,9.95,10.09,9.79,0.3,0.00358,0.0315
chr3,51415327,51417188,1862,*,9.35,9.51,9.18,0.33,0.00358,0.0316
chr6,89256779,89257839,1061,*,8.33,8.54,8.07,0.47,0.00359,0.0316
chr11,94160303,94161865,1563,*,9.21,9.39,9.01,0.38,0.00359,0.0316
chr6,88518080,88519500,1421,*,9.06,9.23,8.87,0.36,0.00359,0.0316
chr11,74648872,74650548,1677,*,8.9,9.08,8.7,0.38,0.00359,0.0316
chr13,31800734,31802217,1484,*,8.19,8.42,7.92,0.5,0.00359,0.0316
chr12,87265713,87267430,1718,*,9.43,9.58,9.26,0.32,0.00359,0.0316
chr9,37613145,37614391,1247,*,9.08,9.25,8.89,0.36,0.00359,0.0316
chrX,20059130,20061206,2077,*,8.93,9.12,8.71,0.41,0.0036,0.0317
chr18,61398507,61400930,2424,*,9.85,9.99,9.69,0.3,0.0036,0.0317
chr10,42275422,42278644,3223,*,10.7,10.82,10.58,0.24,0.00361,0.0317
chr17,84180449,84182520,2072,*,10.04,10.17,9.9,0.27,0.00361,0.0317
chrX,42067647,42069535,1889,*,9.57,9.72,9.41,0.3,0.00362,0.0317
chr18,6135009,6136897,1889,*,9.73,9.88,9.56,0.31,0.00362,0.0317
chr4,67423917,67424595,679,*,7.66,7.93,7.33,0.6,0.00362,0.0318
chr1,82839042,82840416,1375,*,9.11,9.28,8.92,0.36,0.00362,0.0318
chr1,195091674,195092862,1189,*,9,9.18,8.81,0.37,0.00362,0.0318
chr8,116978286,116979381,1096,*,9.19,9.36,9.01,0.35,0.00363,0.0318
chr7,130645401,130647265,1865,*,9.21,9.38,9.03,0.35,0.00363,0.0318
chr4,129513297,129514846,1550,*,8.83,9.01,8.62,0.39,0.00363,0.0318
chr4,126734379,126736415,2037,*,8.17,8.4,7.91,0.5,0.00363,0.0318
chr12,112941187,112942601,1415,*,8.5,8.71,8.26,0.44,0.00363,0.0318
chr18,61910661,61912070,1410,*,8.75,8.95,8.52,0.43,0.00363,0.0318
chr9,112234118,112235874,1757,*,8.24,8.46,7.97,0.49,0.00364,0.0318
chr1,172548351,172551015,2665,*,9.25,9.42,9.07,0.35,0.00364,0.0318
chr10,63381418,63383183,1766,*,8.82,9,8.61,0.39,0.00365,0.0319
chr6,34910197,34911272,1076,*,9.13,9.3,8.94,0.35,0.00365,0.0319
chr13,74349667,74350793,1127,*,8.71,8.9,8.5,0.4,0.00365,0.0319
chr1,156938463,156940516,2054,*,9.61,9.75,9.45,0.31,0.00365,0.0319
chr19,53013593,53014397,805,*,7.51,7.81,7.14,0.67,0.00365,0.0319
chrX,107815279,107816767,1489,*,9.06,9.23,8.87,0.36,0.00366,0.0319
chr10,94035118,94036714,1597,*,9.66,9.81,9.5,0.31,0.00366,0.0319
chr13,74008922,74010788,1867,*,9.06,9.23,8.86,0.37,0.00366,0.0319
chr7,39614839,39615793,955,*,7.32,7.62,6.95,0.67,0.00366,0.0319
chr14,10430009,10431128,1120,*,7.93,8.22,7.55,0.67,0.00367,0.032
chr1,55236741,55238248,1508,*,9.15,9.32,8.96,0.36,0.00367,0.032
chr4,120282209,120283613,1405,*,8.7,8.9,8.47,0.43,0.00367,0.032
chr10,88730446,88732071,1626,*,9.45,9.6,9.28,0.32,0.00367,0.032
chr10,37136023,37137991,1969,*,10.14,10.27,9.99,0.28,0.00367,0.032
chr9,109073479,109074596,1118,*,8.2,8.42,7.94,0.49,0.00368,0.032
chr10,128803506,128805811,2306,*,10.12,10.25,9.98,0.27,0.00368,0.032
chr3,115887304,115888937,1634,*,9.17,9.33,8.99,0.35,0.00368,0.032
chr5,124552543,124553434,892,*,8.37,8.58,8.12,0.46,0.00368,0.032
chr9,102085710,102086743,1034,*,7.31,7.61,6.93,0.68,0.00369,0.032
chr3,139205200,139206227,1028,*,8.87,9.05,8.67,0.38,0.00369,0.032
chr12,109971276,109973298,2023,*,8.36,8.6,8.07,0.52,0.00369,0.032
chr13,106936006,106937410,1405,*,8.85,9.03,8.64,0.39,0.00369,0.032
chr5,64288084,64289723,1640,*,8.27,8.49,8.01,0.48,0.00369,0.032
chr1,62760017,62760818,802,*,8.3,8.53,8.03,0.5,0.00369,0.032
chr17,84465628,84466743,1116,*,9,9.18,8.79,0.38,0.00369,0.032
chr2,65413727,65415380,1654,*,8.49,8.7,8.25,0.44,0.0037,0.032
chr7,19870896,19871723,828,*,8.22,8.44,7.96,0.49,0.0037,0.032
chr16,81437074,81438160,1087,*,8.17,8.41,7.89,0.52,0.0037,0.032
chr9,87254755,87256076,1322,*,9.04,9.21,8.85,0.36,0.0037,0.0321
chr11,6405721,6407110,1390,*,7.94,8.19,7.63,0.56,0.0037,0.0321
chr2,66256061,66257420,1360,*,9.41,9.56,9.24,0.32,0.0037,0.0321
chr10,83359725,83360964,1240,*,8.98,9.16,8.78,0.38,0.00371,0.0321
chr4,109406002,109408405,2404,*,9.06,9.24,8.87,0.37,0.00371,0.0321
chr17,36836031,36837746,1716,*,9.6,9.75,9.43,0.32,0.00371,0.0321
chr14,33184813,33185837,1025,*,8.23,8.45,7.97,0.48,0.00371,0.0321
chr4,102574123,102574832,710,*,8.56,8.76,8.33,0.44,0.00371,0.0321
chr9,95405367,95408103,2737,*,10.13,10.27,9.97,0.3,0.00372,0.0321
chr4,16162932,16164480,1549,*,10.18,10.31,10.04,0.27,0.00372,0.0321
chr7,17024030,17025376,1347,*,8.72,8.91,8.51,0.4,0.00372,0.0321
chr4,99656748,99658094,1347,*,7.75,8.01,7.44,0.58,0.00372,0.0321
chr10,100486608,100488168,1561,*,9.65,9.8,9.49,0.32,0.00372,0.0321
chr4,110050357,110051878,1522,*,8.24,8.46,7.98,0.48,0.00372,0.0321
chr13,51651098,51652256,1159,*,8.94,9.12,8.74,0.39,0.00373,0.0321
chr13,58127350,58129693,2344,*,10.17,10.3,10.03,0.27,0.00373,0.0321
chr7,75847922,75849394,1473,*,9.17,9.33,8.98,0.35,0.00373,0.0321
chr6,38532846,38535446,2601,*,10.26,10.38,10.12,0.26,0.00373,0.0322
chr14,22182731,22183958,1228,*,9.03,9.2,8.84,0.36,0.00373,0.0322
chr3,79885592,79887051,1460,*,8.16,8.4,7.86,0.54,0.00373,0.0322
chr4,44012186,44013238,1053,*,8.54,8.74,8.32,0.42,0.00374,0.0322
chr12,99627263,99628513,1251,*,8.69,8.88,8.47,0.41,0.00374,0.0322
chr17,28024250,28024944,695,*,7.3,7.64,6.86,0.77,0.00374,0.0322
chr4,148448147,148449332,1186,*,9.37,9.52,9.2,0.32,0.00374,0.0322
chr1,133159028,133159674,647,*,7.44,7.73,7.08,0.65,0.00374,0.0322
chr16,65631507,65632048,542,*,7.44,7.73,7.08,0.66,0.00374,0.0322
chr11,58301123,58303262,2140,*,9.55,9.71,9.37,0.33,0.00375,0.0322
chr9,22327232,22328542,1311,*,9.22,9.38,9.04,0.35,0.00376,0.0323
chr7,139466252,139467486,1235,*,8,8.3,7.63,0.66,0.00376,0.0323
chr7,121706408,121707962,1555,*,9.24,9.4,9.06,0.34,0.00376,0.0323
chr7,77131826,77133696,1871,*,9.26,9.42,9.08,0.33,0.00376,0.0323
chr2,37702175,37704357,2183,*,9.84,9.98,9.68,0.3,0.00376,0.0323
chr10,28515918,28516622,705,*,7.94,8.18,7.64,0.54,0.00377,0.0323
chr8,117197965,117198833,869,*,8.83,9.03,8.61,0.42,0.00377,0.0323
chr2,164745067,164746723,1657,*,8.76,8.95,8.55,0.4,0.00377,0.0323
chr3,21934675,21936757,2083,*,9.73,9.87,9.58,0.3,0.00377,0.0323
chr7,84688907,84690562,1656,*,9.79,9.93,9.63,0.29,0.00378,0.0324
chr7,28179121,28180538,1418,*,9.41,9.56,9.24,0.32,0.00378,0.0324
chr4,128980258,128981979,1722,*,9.23,9.4,9.05,0.35,0.00378,0.0324
chr2,67564965,67567675,2711,*,10.04,10.16,9.9,0.26,0.00378,0.0324
chr7,28741259,28742503,1245,*,9.04,9.21,8.85,0.37,0.00378,0.0324
chr6,87777774,87779770,1997,*,8.66,8.87,8.42,0.45,0.00378,0.0324
chr13,32850080,32851448,1369,*,7.95,8.2,7.65,0.56,0.00379,0.0324
chr9,104262141,104263506,1366,*,9.31,9.47,9.13,0.34,0.00379,0.0324
chr3,152979189,152980058,870,*,8.69,8.88,8.47,0.4,0.00379,0.0324
chr5,100038216,100040688,2473,*,10.41,10.53,10.28,0.26,0.00379,0.0324
chr14,122405637,122407624,1988,*,8.19,8.42,7.93,0.49,0.00379,0.0324
chr8,46151152,46153120,1969,*,9.47,9.62,9.31,0.31,0.00379,0.0324
chr16,5351766,5352876,1111,*,8.53,8.73,8.29,0.44,0.00379,0.0324
chrX,160993938,160995656,1719,*,9.71,9.85,9.55,0.29,0.00379,0.0324
chr10,82813790,82814873,1084,*,8.75,8.94,8.54,0.4,0.00379,0.0324
chr15,72971229,72972762,1534,*,8.34,8.55,8.08,0.47,0.00379,0.0324
chr1,74854430,74856388,1959,*,8.61,8.82,8.37,0.45,0.0038,0.0324
chr4,117477507,117478531,1025,*,7.39,7.7,6.98,0.73,0.0038,0.0324
chr7,105743776,105744986,1211,*,9.03,9.2,8.83,0.36,0.0038,0.0324
chr19,34844011,34845369,1359,*,8.76,8.99,8.49,0.5,0.0038,0.0324
chr7,89940642,89941550,909,*,8.79,8.98,8.57,0.41,0.0038,0.0324
chr7,96643418,96644847,1430,*,7.31,7.62,6.92,0.7,0.00381,0.0324
chr7,78782632,78783883,1252,*,8.56,8.76,8.33,0.43,0.00382,0.0325
chr7,5037931,5039107,1177,*,8.69,8.88,8.47,0.4,0.00382,0.0325
chr16,17890871,17892283,1413,*,9.05,9.22,8.85,0.37,0.00382,0.0325
chr10,54073881,54077433,3553,*,10.57,10.69,10.43,0.26,0.00382,0.0325
chr12,83034593,83035528,936,*,7.36,7.67,6.96,0.71,0.00382,0.0325
chr1,33719612,33720717,1106,*,8.67,8.88,8.44,0.44,0.00382,0.0325
chr7,38182482,38184309,1828,*,9.34,9.5,9.17,0.33,0.00383,0.0325
chr2,119741483,119743040,1558,*,8.83,9.01,8.62,0.39,0.00383,0.0325
chr2,114654077,114655542,1466,*,9.37,9.52,9.2,0.32,0.00383,0.0325
chr1,93668558,93669404,847,*,8.6,8.8,8.37,0.42,0.00383,0.0325
chr19,43036231,43037398,1168,*,8.27,8.5,8,0.51,0.00383,0.0325
chr2,168553349,168554169,821,*,7.29,7.62,6.87,0.76,0.00383,0.0325
chr10,67185346,67186129,784,*,8.75,8.93,8.53,0.39,0.00384,0.0325
chr6,37441049,37442917,1869,*,9.66,9.81,9.5,0.3,0.00384,0.0325
chr15,64920712,64922631,1920,*,8.27,8.51,7.99,0.51,0.00384,0.0325
chr4,83888237,83889154,918,*,7.39,7.69,7.01,0.68,0.00384,0.0325
chr3,69922807,69923691,885,*,7.47,7.75,7.12,0.64,0.00384,0.0325
chr17,3313893,3314908,1016,*,8.48,8.69,8.24,0.45,0.00384,0.0325
chr5,105699494,105701291,1798,*,9.68,9.83,9.53,0.3,0.00384,0.0325
chr15,59003477,59004942,1466,*,8.27,8.49,8.01,0.48,0.00385,0.0325
chr8,108611332,108612596,1265,*,8.49,8.7,8.26,0.43,0.00385,0.0325
chr7,3644302,3646050,1749,*,10.16,10.29,10.01,0.28,0.00385,0.0325
chr10,84440090,84441607,1518,*,9.19,9.35,9.01,0.34,0.00385,0.0326
chr8,11006897,11009992,3096,*,10.37,10.5,10.23,0.27,0.00385,0.0326
chr4,71291156,71292379,1224,*,9.17,9.34,8.99,0.35,0.00386,0.0326
chr2,105674649,105675696,1048,*,8.21,8.44,7.95,0.49,0.00386,0.0326
chr2,24181696,24182646,951,*,8.11,8.34,7.83,0.51,0.00386,0.0326
chr7,38084645,38086383,1739,*,9.92,10.06,9.77,0.29,0.00386,0.0326
chr10,53750044,53751783,1740,*,9.41,9.57,9.23,0.34,0.00387,0.0326
chr6,117899971,117901120,1150,*,7.9,8.14,7.6,0.54,0.00387,0.0326
chr10,117434692,117435972,1281,*,9.01,9.18,8.82,0.36,0.00388,0.0327
chrX,47912168,47913837,1670,*,9.36,9.51,9.18,0.33,0.00388,0.0327
chr12,98746071,98747673,1603,*,9.58,9.72,9.41,0.31,0.00388,0.0327
chr4,41097856,41098936,1081,*,7.54,7.83,7.18,0.64,0.00389,0.0328
chr7,89678687,89679707,1021,*,8.04,8.27,7.76,0.51,0.00389,0.0328
chrX,162887827,162889096,1270,*,8.16,8.39,7.9,0.49,0.00389,0.0328
chr12,104990495,104991477,983,*,8.58,8.77,8.35,0.42,0.00389,0.0328
chr12,40133032,40135003,1972,*,8.16,8.39,7.89,0.49,0.0039,0.0328
chr11,48855437,48857178,1742,*,9.24,9.41,9.04,0.36,0.0039,0.0328
chr12,117533252,117534867,1616,*,9,9.2,8.78,0.41,0.0039,0.0328
chr7,120634369,120636165,1797,*,9.24,9.4,9.05,0.35,0.0039,0.0328
chr2,24048265,24050005,1741,*,8.65,8.84,8.43,0.41,0.00391,0.0328
chr7,24394266,24395499,1234,*,8.92,9.09,8.72,0.37,0.00391,0.0328
chr4,76448657,76451344,2688,*,9.09,9.26,8.9,0.37,0.00391,0.0328
chr9,19621572,19622550,979,*,9.41,9.56,9.23,0.34,0.00391,0.0328
chr7,89517077,89518510,1434,*,8.3,8.54,8.02,0.52,0.00391,0.0329
chr18,52768012,52769495,1484,*,8.95,9.14,8.74,0.4,0.00392,0.0329
chr17,5238405,5239398,994,*,7.86,8.12,7.54,0.57,0.00392,0.0329
chr2,144247332,144247995,664,*,7.93,8.21,7.59,0.62,0.00392,0.0329
chr9,14275694,14277249,1556,*,9.83,9.97,9.69,0.28,0.00392,0.0329
chr8,110617994,110619326,1333,*,8.61,8.81,8.39,0.42,0.00392,0.0329
chr6,42245459,42246666,1208,*,8.73,8.93,8.51,0.41,0.00393,0.0329
chr15,90678297,90680537,2241,*,9.74,9.9,9.57,0.32,0.00393,0.0329
chr19,46454321,46456015,1695,*,9.15,9.31,8.96,0.35,0.00393,0.0329
chr16,16302089,16304143,2055,*,9.34,9.5,9.16,0.34,0.00393,0.0329
chr8,9975919,9976821,903,*,8.88,9.06,8.68,0.38,0.00394,0.0329
chr17,7945038,7946487,1450,*,8.45,8.65,8.21,0.44,0.00394,0.0329
chr7,120101976,120103464,1489,*,9.09,9.26,8.9,0.36,0.00394,0.0329
chr19,4299932,4300771,840,*,8.44,8.64,8.2,0.45,0.00394,0.0329
chr1,86525048,86528818,3771,*,10.92,11.03,10.8,0.22,0.00394,0.0329
chr17,15825440,15826919,1480,*,9.48,9.63,9.31,0.31,0.00394,0.0329
chr10,85386261,85388992,2732,*,9.61,9.76,9.43,0.33,0.00394,0.0329
chr5,43661828,43663179,1352,*,7.89,8.15,7.59,0.56,0.00394,0.0329
chr5,115844416,115845598,1183,*,8.71,8.9,8.49,0.41,0.00394,0.0329
chr4,8593984,8595128,1145,*,7.7,7.96,7.38,0.58,0.00394,0.0329
chr17,23598364,23599766,1403,*,9.47,9.62,9.3,0.31,0.00395,0.0329
chr3,95014603,95016841,2239,*,10.41,10.53,10.28,0.25,0.00395,0.0329
chrX,103980060,103981781,1722,*,9.55,9.69,9.39,0.3,0.00395,0.0329
chr5,34907883,34909076,1194,*,8.24,8.47,7.98,0.48,0.00395,0.0329
chr6,34994699,34995812,1114,*,8.26,8.48,8.01,0.47,0.00395,0.0329
chr13,67172540,67173932,1393,*,8.54,8.74,8.31,0.43,0.00395,0.0329
chr5,109843998,109845506,1509,*,8.72,8.91,8.5,0.41,0.00395,0.0329
chr3,129199210,129200499,1290,*,8.05,8.29,7.78,0.51,0.00396,0.0329
